id,installation_id,facility_type_key,title,year_constructed,age_years,condition_index,dependency_chain,resiliency_grade,life_expectancy,mission_criticality
bab4d946-7ded-438a-a6c5-1d059f44345d,7c325a95-4761-4c2f-a35f-5222d61742cb,5,Ground Terminal,2025,1,71.12,A1,2,30,1
b6560b92-5bde-47ab-860a-27f7f5bcbad9,7c325a95-4761-4c2f-a35f-5222d61742cb,21,Random Facility,1998,28,67.51,B13,2,30,1
1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,7c325a95-4761-4c2f-a35f-5222d61742cb,6,Ops Facility,1994,32,64.07,A123,2,50,3
faade3f4-d6f5-43b2-8392-aabfecca581b,7c325a95-4761-4c2f-a35f-5222d61742cb,24,UPS Building,2001,25,68.19,A123,2,50,1
b8e6a466-0e32-4435-a8cf-0ae9a845ad92,7c325a95-4761-4c2f-a35f-5222d61742cb,12,Equipment Pad,2001,25,68.7,C1,2,20,1
78670683-2582-4054-b2cc-25fa31cf32fc,7c325a95-4761-4c2f-a35f-5222d61742cb,1,Heating - Cooling Plant,1969,57,73.65,B23,2,60,3
f5f10a80-d022-4120-b7b1-4fa4ba372bec,7c325a95-4761-4c2f-a35f-5222d61742cb,26,Substation,1975,51,68.86,B123,2,30,2
4617aeee-367f-410f-b7b0-05d9aad994a3,7c325a95-4761-4c2f-a35f-5222d61742cb,3,Communication Facility,1996,30,68.99,B3,2,60,2
8e144419-2985-4104-b20f-b3530c5d0a0a,7c325a95-4761-4c2f-a35f-5222d61742cb,23,Standby Generator,2003,23,68.9,C13,2,30,2
3622d125-2718-4f0b-9401-a5209ff47e11,7c325a95-4761-4c2f-a35f-5222d61742cb,28,Storage Facility,1993,33,67.07,B123,2,60,1
eb14265d-3bdb-4dc0-b073-b143ede1bcd0,7c325a95-4761-4c2f-a35f-5222d61742cb,7,Data Center,2013,13,64.08,B123,2,40,2
c0f29a41-6d73-40a6-9014-7609114e7538,56f31fbd-0265-4f9e-86a9-3807ca0a685f,20,Fuel Farm,2002,24,54.31,B12,1,40,1
76f16d9a-b91c-43f6-b25c-b633f873cbea,56f31fbd-0265-4f9e-86a9-3807ca0a685f,28,Storage Facility,1988,38,67.52,C1,3,60,1
99a0a2b2-fd9f-454d-bafb-f1eb334140f0,56f31fbd-0265-4f9e-86a9-3807ca0a685f,5,Ground Terminal,1962,64,62.91,C12,1,30,1
d1124854-a59e-4299-9791-49af0dba4375,56f31fbd-0265-4f9e-86a9-3807ca0a685f,10,Pump Station,1964,62,63.96,C123,3,40,1
a138b5c0-f4ab-4c67-a0c5-b06e97956f44,56f31fbd-0265-4f9e-86a9-3807ca0a685f,11,Admin Office,1997,29,67.08,A1,1,40,1
d0e751f2-275b-4092-970a-88a5308a8052,56f31fbd-0265-4f9e-86a9-3807ca0a685f,19,Maintenance Shop,2015,11,66.4,A2,1,40,1
b55e1635-0653-4869-976a-4b78ebdfb4d4,56f31fbd-0265-4f9e-86a9-3807ca0a685f,9,Ground monitoring Station,2004,22,68.91,C3,1,30,1
def51958-273c-48df-a655-a7c3d1a9ea42,56f31fbd-0265-4f9e-86a9-3807ca0a685f,2,Antenna support building,2006,20,70.28,B23,1,30,1
a5ee49f1-f0de-4a44-be75-65369d35cc17,56f31fbd-0265-4f9e-86a9-3807ca0a685f,7,Data Center,2021,5,62.47,C12,1,40,2
46c8d460-e79e-4daa-9ae4-4394fd629ca7,56f31fbd-0265-4f9e-86a9-3807ca0a685f,17,Entry control point,1988,38,69.47,B123,1,30,1
7b4e2adb-4f9a-4456-92cd-2e4b993a7b66,78c6dda1-d13b-4594-8a93-afa8c335ff6e,16,Truck fill stand,1975,51,71.04,C1,2,30,1
3aa2a1ed-5ef5-488e-821f-99e9de388bdd,78c6dda1-d13b-4594-8a93-afa8c335ff6e,20,Fuel Farm,1991,35,61.67,C3,1,40,1
72589c7c-dc5c-41bc-b915-cdc355ba5d97,78c6dda1-d13b-4594-8a93-afa8c335ff6e,26,Substation,2009,17,68.12,A3,1,30,2
7dc5b4d0-debd-4418-bb5d-e42c65bca908,78c6dda1-d13b-4594-8a93-afa8c335ff6e,7,Data Center,1993,33,66.36,A3,1,40,2
0488d374-16f8-4b0b-a42b-6f9b639929f2,78c6dda1-d13b-4594-8a93-afa8c335ff6e,13,Fuel Building,1988,38,70.78,C123,1,50,1
73744b63-a970-4f56-821d-342bc7f45a73,78c6dda1-d13b-4594-8a93-afa8c335ff6e,21,Random Facility,2016,10,62.57,C13,2,30,1
c2dd7fc1-ab38-41a4-87cb-966598b33e7c,78c6dda1-d13b-4594-8a93-afa8c335ff6e,25,Switching Station,2019,7,69.22,A123,1,30,2
515a98d5-84f9-44a4-af54-6849bb1b9487,78c6dda1-d13b-4594-8a93-afa8c335ff6e,14,Dorm Facility,2012,14,66.8,C123,1,50,1
15153605-1b4c-441d-9177-0e1914e8545d,78c6dda1-d13b-4594-8a93-afa8c335ff6e,6,Ops Facility,2015,11,66.6,A3,1,50,3
74c9dd8b-be69-468c-826e-91e50b3fe528,78c6dda1-d13b-4594-8a93-afa8c335ff6e,24,UPS Building,2003,23,68.03,A123,1,50,1
342cf5ef-6523-44f5-bc3f-fabc4c4e25a2,78c6dda1-d13b-4594-8a93-afa8c335ff6e,15,Central Utility Plant,2013,13,69.36,B3,1,50,1
e19128cd-fa51-4162-a429-85f58ba06283,78c6dda1-d13b-4594-8a93-afa8c335ff6e,3,Communication Facility,1984,42,65.43,B3,1,60,2
dadc0742-134f-4e79-b4eb-37607663fa98,78c6dda1-d13b-4594-8a93-afa8c335ff6e,18,Utility corridor,2004,22,65.75,B13,1,60,1
f5be0a06-4c4d-4d7d-9ea2-03af37308228,d68a95cf-90fc-45cd-b5b3-ed5507100748,8,Receiver Station,2010,16,69.27,B123,2,30,1
169425d5-32ac-4488-a210-021c0121d514,d68a95cf-90fc-45cd-b5b3-ed5507100748,7,Data Center,1992,34,64.41,A23,2,40,2
fc798d88-819e-4c7f-84b4-fef7532f122f,d68a95cf-90fc-45cd-b5b3-ed5507100748,23,Standby Generator,2004,22,64.1,C13,2,30,2
c5e42637-9172-4456-ac7d-562d9a4cae0f,d68a95cf-90fc-45cd-b5b3-ed5507100748,1,Heating - Cooling Plant,1992,34,65.4,C123,2,60,3
ed12b5ce-7d98-4ceb-950d-072df83bc51a,d68a95cf-90fc-45cd-b5b3-ed5507100748,11,Admin Office,2012,14,66.75,B23,2,40,1
6e38338f-5302-49e0-867c-b45f247cf1e7,d68a95cf-90fc-45cd-b5b3-ed5507100748,27,Fuel intake Facility,2024,2,66.49,A13,2,30,1
5295ac99-6a9f-487a-83fc-b064ea6287ab,d68a95cf-90fc-45cd-b5b3-ed5507100748,20,Fuel Farm,2022,4,68.3,B123,2,40,1
70d4e085-27d9-46e6-af35-11a808bdd791,d68a95cf-90fc-45cd-b5b3-ed5507100748,22,Water Treatment Facility,1991,35,66.26,A12,2,30,1
0a939815-ada8-4e0d-a03c-819b7916ab8d,d68a95cf-90fc-45cd-b5b3-ed5507100748,10,Pump Station,1974,52,70.72,B2,2,40,1
6fd8a788-e32b-49c1-a503-5d86e975ab44,d68a95cf-90fc-45cd-b5b3-ed5507100748,6,Ops Facility,1987,39,66.32,A123,2,50,3
c4735e5b-fe9d-4e91-a3b8-fb0b786f20e4,d68a95cf-90fc-45cd-b5b3-ed5507100748,28,Storage Facility,1994,32,69.14,C1,2,60,1
2a6eaf04-ceb4-4a7c-81c0-fda2f39d4b1f,936ae6da-596e-458a-a4f4-932967dc882c,9,Ground monitoring Station,2008,18,66.15,B1,1,30,1
9e37440a-01d0-4f2c-ad16-39f070ba9499,936ae6da-596e-458a-a4f4-932967dc882c,6,Ops Facility,1997,29,65.21,A13,1,50,3
4cc6187e-6d5d-42f0-b24c-cc310a1bfca9,936ae6da-596e-458a-a4f4-932967dc882c,21,Random Facility,1971,55,67.74,B123,1,30,1
f8f075c6-a359-4675-9c78-3683976a211e,936ae6da-596e-458a-a4f4-932967dc882c,1,Heating - Cooling Plant,2026,0,73.6,B12,1,60,3
9196539c-6b8a-423e-b0f2-5c489b90411a,936ae6da-596e-458a-a4f4-932967dc882c,15,Central Utility Plant,2001,25,64.52,A2,1,50,1
20fcfc50-433b-4464-ac85-ae4fa451e04c,936ae6da-596e-458a-a4f4-932967dc882c,14,Dorm Facility,1992,34,61.3,B123,1,50,1
f86a0066-fbd8-4157-8d5e-c37f4f293e1a,936ae6da-596e-458a-a4f4-932967dc882c,24,UPS Building,1998,28,69.25,B2,1,50,1
09e8eb00-023e-40bf-a941-d79b6354d868,936ae6da-596e-458a-a4f4-932967dc882c,8,Receiver Station,2011,15,61.26,C1,1,30,1
f1676cc0-e11b-4104-a4f7-9d0423937f51,936ae6da-596e-458a-a4f4-932967dc882c,11,Admin Office,1968,58,61.48,B123,1,40,1
3f77a063-b1be-40ad-97f6-ba17fc8d24dc,21eb395c-3698-4beb-9233-595dcefa153c,27,Fuel intake Facility,2024,2,69.8,A23,2,30,1
83f199ba-9bae-49c4-ba2d-b4e2984a4146,21eb395c-3698-4beb-9233-595dcefa153c,12,Equipment Pad,1997,29,66.56,B123,2,20,1
b234f240-20cd-4444-b3da-6554d574289f,21eb395c-3698-4beb-9233-595dcefa153c,13,Fuel Building,1974,52,69.89,C3,2,50,1
29579e42-359c-451f-98bf-e34a2a06cb8c,21eb395c-3698-4beb-9233-595dcefa153c,2,Antenna support building,1995,31,63.38,C2,2,30,1
dece0a2e-5c2b-4e0b-b5c3-e20877ad4f1e,21eb395c-3698-4beb-9233-595dcefa153c,18,Utility corridor,2007,19,63.68,B123,2,60,1
5bb12707-c1f0-4218-8eb5-fdfdbfd43e15,21eb395c-3698-4beb-9233-595dcefa153c,22,Water Treatment Facility,1966,60,63.76,B23,2,30,1
099377eb-3440-4850-bb84-a3987717e106,21eb395c-3698-4beb-9233-595dcefa153c,25,Switching Station,1998,28,71.89,B123,2,30,2
07811b3b-8cab-4b48-9a35-768050ab90a4,21eb395c-3698-4beb-9233-595dcefa153c,9,Ground monitoring Station,1987,39,59.9,B13,2,30,1
6388d565-58e1-46e5-bdd8-e08dd3cbb66c,21eb395c-3698-4beb-9233-595dcefa153c,23,Standby Generator,2022,4,65.47,B13,2,30,2
768ad13c-be0d-410c-b0e8-1c998af68165,21eb395c-3698-4beb-9233-595dcefa153c,11,Admin Office,1988,38,73.09,C12,2,40,1
a40cc25c-6c89-4643-85ce-08d327d6b2e2,585ee945-2b84-4df4-93fc-7c4b098f24c9,18,Utility corridor,2024,2,64.78,B123,2,60,1
fee50098-ac08-43e3-ac34-57826f204b8f,585ee945-2b84-4df4-93fc-7c4b098f24c9,5,Ground Terminal,1994,32,69.26,B23,2,30,1
ddba3b40-f89d-4cb3-bc1b-c8e5100e6143,585ee945-2b84-4df4-93fc-7c4b098f24c9,15,Central Utility Plant,2010,16,66.58,C13,2,50,1
c5a2ea55-29cf-4e36-8d06-d5346b2f2840,585ee945-2b84-4df4-93fc-7c4b098f24c9,17,Entry control point,1987,39,65.26,A12,2,30,1
75a6ad6a-e3f0-4248-ae10-a32cfed10439,585ee945-2b84-4df4-93fc-7c4b098f24c9,2,Antenna support building,2002,24,69.15,C12,2,30,1
9fffe633-fa7b-4036-83ae-ee5c911d254c,585ee945-2b84-4df4-93fc-7c4b098f24c9,21,Random Facility,1991,35,65.95,A1,2,30,1
2164262f-d3a5-4e94-8682-fa2779ad4e99,585ee945-2b84-4df4-93fc-7c4b098f24c9,24,UPS Building,2008,18,62.91,C3,1,50,1
8badbd50-39f1-4222-a9d7-a3d029ff39f0,585ee945-2b84-4df4-93fc-7c4b098f24c9,1,Heating - Cooling Plant,2004,22,64.04,B13,2,60,3
4234d96e-ea8c-49d5-b5d8-4302259b09dc,585ee945-2b84-4df4-93fc-7c4b098f24c9,3,Communication Facility,1955,71,60.24,A23,2,60,2
05ae3fb1-a4bf-4af7-8aeb-c88cfffd8e58,585ee945-2b84-4df4-93fc-7c4b098f24c9,26,Substation,1995,31,57.11,C13,4,30,2
1b09ab73-4143-4e51-94fb-8ac7f47b25cd,585ee945-2b84-4df4-93fc-7c4b098f24c9,25,Switching Station,2016,10,68.05,B23,2,30,2
eb1c482c-2ec2-4285-ab0f-554d5f1f88bc,30da8956-ce7c-4eef-976b-ecf0b3c91474,7,Data Center,2008,18,52.52,C123,1,40,2
5ba12183-2cf8-461f-9129-4424d8b2902a,30da8956-ce7c-4eef-976b-ecf0b3c91474,25,Switching Station,1992,34,65.83,A3,1,30,2
fe93e809-9315-466a-90c0-f7329600019e,30da8956-ce7c-4eef-976b-ecf0b3c91474,6,Ops Facility,1995,31,66.03,C123,1,50,3
afd3d0b5-bd17-4e1f-b113-8bd0634ce5fc,30da8956-ce7c-4eef-976b-ecf0b3c91474,11,Admin Office,2007,19,66.52,C23,2,40,1
