id,title,location,region,coordinates,condition_index,facility_count
7c325a95-4761-4c2f-a35f-5222d61742cb,Francis E. Warren Air Force Base,Cheyenne,Wyoming,41°07′59″N 104°52′01″W,68.29,11
56f31fbd-0265-4f9e-86a9-3807ca0a685f,Stewart Air National Guard Base,Newburgh,New York,41°30′15″N 74°06′17″W,65.33,10
78c6dda1-d13b-4594-8a93-afa8c335ff6e,Niagara Falls Air Reserve Station,Niagara Falls,New York,43°06′48″N 078°56′51″W,67.06,13
d68a95cf-90fc-45cd-b5b3-ed5507100748,Bradley Air National Guard Base,Windsor Locks,Connecticut,41°56′20″N 72°41′0″W,67.01,11
936ae6da-596e-458a-a4f4-932967dc882c,Schriever Space Force Base,Colorado Springs,Colorado,38°48′12″N 104°31′32″W,65.61,9
21eb395c-3698-4beb-9233-595dcefa153c,Hulman Field Air National Guard Base,Terre Haute,Indiana,39°27′05″N 087°18′27″W,66.74,10
585ee945-2b84-4df4-93fc-7c4b098f24c9,Lincoln Air National Guard Base,Lincoln,Nebraska,40°51′04″N 096°45′33″W,64.85,11
30da8956-ce7c-4eef-976b-ecf0b3c91474,Jefferson Barracks Air National Guard Station,St Louis,Missouri,38°30′14.3″N 90°16′48.9″W,62.9,9
50ca09d2-48be-470d-8e44-09733a20a16b,NATO Air Base Geilenkirchen,Geilenkirchen,Germany,50°57′39″N 6°2′33″E,65.25,9
f8936d8d-e62e-45ab-95cd-f0959638a4b8,Dyess Air Force Base,Abilene,Texas,32°25′15″N 099°51′17″W,65.09,10
