id,facility_id,system_type_key,title,year_constructed,age_years,condition_index,life_expectancy
b213bc8b-5836-452f-9f99-ccaf32b9c0d6,bab4d946-7ded-438a-a6c5-1d059f44345d,1,Foundation,1994,32,70.1,60
c7813923-01d3-4d16-9033-fd96f9bb076f,bab4d946-7ded-438a-a6c5-1d059f44345d,2,Basement,2015,11,76.84,60
343eba94-4f22-4c63-b1fb-25c948d25c7c,bab4d946-7ded-438a-a6c5-1d059f44345d,3,Superstructure,1971,55,64.75,50
3117fdb2-9294-4064-a719-095a143d6dbc,bab4d946-7ded-438a-a6c5-1d059f44345d,4,Exterior Structure,1992,34,88.84,40
69ccbc61-9e53-47d8-ad6d-1895ae47080a,bab4d946-7ded-438a-a6c5-1d059f44345d,5,Roofing,2022,4,70.85,20
c93e199e-81ce-40a6-af3b-1a08ca022fe0,bab4d946-7ded-438a-a6c5-1d059f44345d,6,Interior Construction,1957,69,56.57,30
bbc07ade-8cdb-48ed-be01-e71d840e62c2,bab4d946-7ded-438a-a6c5-1d059f44345d,7,Stairs,2003,23,62.84,40
616b8e5c-89a3-429c-9196-41170767c76e,bab4d946-7ded-438a-a6c5-1d059f44345d,8,Interior Finishes,1956,70,69.31,20
7c8e8fa8-e34e-46d8-a053-790e790d1a05,bab4d946-7ded-438a-a6c5-1d059f44345d,9,Conveying,2011,15,68.17,10
f89f141c-7a9a-46f9-b9eb-34cb0d47a4a2,bab4d946-7ded-438a-a6c5-1d059f44345d,10,Plumbing,1991,35,83.44,30
d09641c4-a0b6-499e-92b8-f5a99406250c,bab4d946-7ded-438a-a6c5-1d059f44345d,12,HVAC,1978,48,76.67,40
091ebef4-45d7-4180-bb58-da0283ede688,bab4d946-7ded-438a-a6c5-1d059f44345d,13,Fire Protection,1993,33,64.62,30
4ccf150f-5455-4b5c-bf06-20d1efef36ba,bab4d946-7ded-438a-a6c5-1d059f44345d,14,Electric,1954,72,70.02,40
94bfcadd-7eeb-4751-8a41-e37ca19b7021,bab4d946-7ded-438a-a6c5-1d059f44345d,15,Furnishing,2006,20,98.38,20
08945bfe-ae2b-470a-a326-1566f1a3a511,bab4d946-7ded-438a-a6c5-1d059f44345d,16,Protection,1992,34,53.18,10
a2ae2538-b92c-4a39-aab4-09435d25a5a1,bab4d946-7ded-438a-a6c5-1d059f44345d,17,Special construction,1997,29,82.4,10
adcfa40f-4c71-4deb-ad33-2a7054a9250e,bab4d946-7ded-438a-a6c5-1d059f44345d,18,Improvements,1995,31,81.91,10
3c8952b7-7ad0-4731-adda-50b6250488cc,bab4d946-7ded-438a-a6c5-1d059f44345d,19,Utilities,1953,73,79.69,30
33dc5e82-5b2a-4c0a-ac3c-1eeb44a5a9ef,bab4d946-7ded-438a-a6c5-1d059f44345d,20,Distribution,1994,32,39.73,30
93079db8-4235-4ed0-985f-081cfadf0bd2,bab4d946-7ded-438a-a6c5-1d059f44345d,21,Other Construction,1948,78,61.86,30
d3f5a5c1-c733-43fb-b1e3-b207924897ff,bab4d946-7ded-438a-a6c5-1d059f44345d,22,Special construction2,1958,68,73.33,30
239aef1e-2dd1-4196-8a85-4fb14f8b8e16,b6560b92-5bde-47ab-860a-27f7f5bcbad9,1,Foundation,1995,31,84.88,60
7b502383-2b25-4c17-877c-a6b0bf09454b,b6560b92-5bde-47ab-860a-27f7f5bcbad9,2,Basement,2007,19,51.48,60
961a59b5-78dc-487f-b566-b006195f7bf7,b6560b92-5bde-47ab-860a-27f7f5bcbad9,3,Superstructure,1996,30,80.83,50
cefef4fe-37b4-4624-823a-760aa479d0a3,b6560b92-5bde-47ab-860a-27f7f5bcbad9,4,Exterior Structure,2014,12,76.97,40
b4def36a-de65-417a-a829-14d997765576,b6560b92-5bde-47ab-860a-27f7f5bcbad9,5,Roofing,2000,26,70.07,20
fd104941-fe50-47c2-afa0-3aff84c8767a,b6560b92-5bde-47ab-860a-27f7f5bcbad9,6,Interior Construction,2013,13,73.04,30
5991531a-7264-4d13-98ba-4a74b1fab36e,b6560b92-5bde-47ab-860a-27f7f5bcbad9,7,Stairs,2003,23,65.99,40
5025f830-7d28-417e-8da9-d5bf269e2eee,b6560b92-5bde-47ab-860a-27f7f5bcbad9,8,Interior Finishes,1968,58,52.68,20
bcfda42d-baa9-4652-a2e5-90bfb50a47c5,b6560b92-5bde-47ab-860a-27f7f5bcbad9,9,Conveying,2001,25,79.58,10
9292bb9a-d7ff-4751-a279-b31d2adfcd81,b6560b92-5bde-47ab-860a-27f7f5bcbad9,10,Plumbing,1992,34,72.9,30
412226e7-1d3c-4093-b558-2797d6d46db1,b6560b92-5bde-47ab-860a-27f7f5bcbad9,12,HVAC,1989,37,37.01,40
05d7af22-fcf4-493f-b8aa-033334db7252,b6560b92-5bde-47ab-860a-27f7f5bcbad9,13,Fire Protection,1994,32,61.73,30
da5177dc-4004-467d-a79c-0ebc3e4af3b2,b6560b92-5bde-47ab-860a-27f7f5bcbad9,14,Electric,1988,38,63.06,40
e2c020ba-e602-4b76-8a42-40b5f0d535ee,b6560b92-5bde-47ab-860a-27f7f5bcbad9,15,Furnishing,2005,21,90.47,20
26f2754c-1dea-48bf-beaf-259e28455b7a,b6560b92-5bde-47ab-860a-27f7f5bcbad9,16,Protection,1967,59,57.82,10
69cceb03-e2da-4399-81c4-f35918df365e,b6560b92-5bde-47ab-860a-27f7f5bcbad9,17,Special construction,2001,25,99.92,10
2e84839a-f458-4fe3-9b23-f2322a6d2c84,b6560b92-5bde-47ab-860a-27f7f5bcbad9,18,Improvements,2013,13,57.05,10
ce8905cc-4cb3-4241-b12a-6e0a6c070fc1,b6560b92-5bde-47ab-860a-27f7f5bcbad9,19,Utilities,1998,28,70.56,30
75bb1022-3ce8-4874-b4fb-7ee83d9366fa,b6560b92-5bde-47ab-860a-27f7f5bcbad9,20,Distribution,1991,35,41.73,30
97bc95f0-2861-4e3a-93c2-c0042415a627,b6560b92-5bde-47ab-860a-27f7f5bcbad9,21,Other Construction,1996,30,71.89,30
