id,installation_id,facility_id,system_id,requesting_organization,work_category,room_area,impacts_mission,status,priority,trade,request_datetime,completion_datetime,problem_description,requested_action,actions_taken
fb6f5e56-a029-4d25-89a4-95cefaeea985,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,b213bc8b-5836-452f-9f99-ccaf32b9c0d6,J2,,,True,In Progress,Maintenance,Electrical,2025-12-30 17:48:30.960572,,example text,example text,example text
5678f848-3aca-4fef-9b00-dcc052c1aa67,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,b213bc8b-5836-452f-9f99-ccaf32b9c0d6,J5,,,False,Approved,Routine,Fire Protection,2026-01-15 10:04:38.960609,,example text,example text,
12ebbf89-22bf-4cbf-a6b5-52a7c3ba7c03,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,b213bc8b-5836-452f-9f99-ccaf32b9c0d6,J1,,,True,Completed,Routine,HVAC,1999-07-07 22:36:08.000000,1999-07-17 22:36:08,example text,example text,example text
a2085d5f-c7fc-4f09-86a8-c924e086d9da,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,343eba94-4f22-4c63-b1fb-25c948d25c7c,J4,,,False,In Progress,Emergency,HVAC,2025-11-05 20:34:11.960664,,example text,example text,
c6947bf8-e3a2-42fe-a0ec-fd32ee403b8e,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,343eba94-4f22-4c63-b1fb-25c948d25c7c,J5,,,True,In Progress,Routine,HVAC,2025-10-23 15:13:42.960682,,example text,example text,
b7e20d1c-9835-4e6b-8b74-5f49188dadf6,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,343eba94-4f22-4c63-b1fb-25c948d25c7c,J2,,,False,Completed,Urgent,Plumbing,2019-06-13 10:56:54.000000,2020-03-29 10:56:54,example text,example text,example text
7e30760f-1401-4ec4-b866-9bb59af6f932,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,343eba94-4f22-4c63-b1fb-25c948d25c7c,J3,,,False,In Progress,Routine,Plumbing,2026-02-17 17:18:46.960720,,example text,example text,example text
e9dc47a7-8364-4fae-849d-6cf6c960de00,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,343eba94-4f22-4c63-b1fb-25c948d25c7c,J4,,,False,Submitted,Urgent,Plumbing,2026-02-15 00:34:35.960737,,example text,example text,
2d57dcec-b92a-4b39-9a74-cff65dc4a351,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,343eba94-4f22-4c63-b1fb-25c948d25c7c,J6,,,False,Submitted,Maintenance,HVAC,2026-02-11 06:22:56.960757,,Example Description,Example Requested Actions,
1dd64bc1-dc8a-495e-bb42-f8f40332e2df,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,343eba94-4f22-4c63-b1fb-25c948d25c7c,J1,,,True,Completed,Routine,Fire Protection,1989-06-13 08:14:34.000000,1990-01-03 08:14:34,example text,example text,example text
d197a9c0-1dea-4dfd-b0d2-f52f7790346c,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,343eba94-4f22-4c63-b1fb-25c948d25c7c,J2,,,True,Completed,Maintenance,Fire Protection,2005-09-23 07:28:51.000000,2006-06-17 07:28:51,example text,example text,example text
2c392a6e-317b-4cf9-a67f-7d307322219c,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,343eba94-4f22-4c63-b1fb-25c948d25c7c,J1,,,True,Completed,Routine,HVAC,1990-07-27 00:16:37.000000,1990-08-18 00:16:37,example text,example text,example text
1fccf46f-2090-4e3b-bf0c-f87d3f7bb81e,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,343eba94-4f22-4c63-b1fb-25c948d25c7c,J6,,,False,In Progress,Routine,Structural,2025-11-23 01:32:45.960826,,example text,example text,example text
37668f72-ff8e-41bd-aeea-858484b74185,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,343eba94-4f22-4c63-b1fb-25c948d25c7c,J6,,,False,In Progress,Maintenance,Fire Protection,2026-03-05 06:07:02.960841,,example text,example text,example text
3a4f6328-6c9d-4038-8bd0-51a9e6935b49,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,343eba94-4f22-4c63-b1fb-25c948d25c7c,J5,,,False,Approved,Maintenance,Plumbing,2025-12-14 08:20:12.960856,,example text,example text,
