Work Order #,Installation,Facility Type Key,System Type Key,Trade,Age,Condition Index,Mission Criticality,Resiliency Grade,Remaining Service Life,Request DateTime,Work Category,Priority Code,Status
USSPC-FAC-2026-0001,Schriever SFB,100,60,ESS,21,54.83,5,4,12,2026-02-21 0300Z,Urgent,2,In Progress
USSPC-FAC-2026-0002,Vandenberg SFB,200,70,Power Production,29,12.33,1,2,3,2026-01-29 2200Z,Emergency,1,Approved
USSPC-FAC-2026-0003,Peterson SFB,200,40,Fire Protection,14,67.71,2,3,17,2026-02-23 0700Z,Preventive Maintenance,3,In Progress
USSPC-FAC-2026-0004,Buckley SFB,700,30,Plumbing,18,80.56,5,4,7,2026-01-04 2100Z,Preventive Maintenance,3,Completed
USSPC-FAC-2026-0005,Peterson SFB,100,40,Fire Protection,9,70.08,1,1,25,2026-02-25 0200Z,Routine,3,Approved
USSPC-FAC-2026-0006,Buckley SFB,200,50,Structural,25,40.99,4,2,2,2026-01-18 2100Z,Urgent,2,In Progress
USSPC-FAC-2026-0007,Vandenberg SFB,200,70,Power Production,21,71.06,5,4,13,2026-01-25 0500Z,Routine,4,Completed
USSPC-FAC-2026-0008,Peterson SFB,100,80,Lighting,10,76.51,2,3,24,2026-02-12 2100Z,Routine,4,Approved
USSPC-FAC-2026-0009,Peterson SFB,200,80,Lighting,22,44.78,1,4,6,2026-02-24 1100Z,Urgent,2,Approved
USSPC-FAC-2026-0010,Peterson SFB,100,50,Structural,21,45.44,5,3,4,2026-01-31 0000Z,Urgent,2,Approved
USSPC-FAC-2026-0011,Schriever SFB,700,80,Lighting,20,54.63,3,2,14,2026-01-01 0800Z,Urgent,2,In Progress
USSPC-FAC-2026-0012,Vandenberg SFB,700,80,Lighting,7,86.3,5,1,22,2026-02-20 1600Z,Routine,3,In Progress
USSPC-FAC-2026-0013,Peterson SFB,700,80,Lighting,9,64.15,3,4,26,2026-01-29 1400Z,Preventive Maintenance,3,In Progress
USSPC-FAC-2026-0014,Peterson SFB,200,30,Plumbing,20,34.71,1,4,11,2026-02-23 0500Z,Urgent,2,Completed
USSPC-FAC-2026-0015,Buckley SFB,700,20,Electrical,5,100.0,4,1,20,2026-02-24 0800Z,Routine,3,In Progress
USSPC-FAC-2026-0016,Peterson SFB,100,50,Structural,28,27.35,2,4,1,2026-01-16 2200Z,Emergency,1,Completed
USSPC-FAC-2026-0017,Schriever SFB,700,70,Power Production,13,51.14,4,4,18,2026-02-15 0900Z,Urgent,2,In Progress
USSPC-FAC-2026-0018,Vandenberg SFB,700,60,ESS,22,52.5,5,2,6,2026-02-22 0100Z,Urgent,2,Approved
USSPC-FAC-2026-0019,Peterson SFB,700,50,Structural,5,86.23,3,4,21,2026-02-01 1900Z,Routine,4,Approved
USSPC-FAC-2026-0020,Vandenberg SFB,700,40,Fire Protection,2,98.04,1,3,25,2026-02-01 0800Z,Preventive Maintenance,3,Approved
USSPC-FAC-2026-0021,Peterson SFB,700,50,Structural,24,35.14,4,4,1,2026-02-13 1300Z,Urgent,2,Approved
