Work Order #,Installation,Trade,Age,Condition Index,Remaining Service Life,Mission Criticality,predicted_ttf,hazard_score,risk_rank
USSPC-FAC-2026-0370,Buckley SFB,Lighting,30,12.15,5,1,1.8915314465835287,0.5286721517668623,1
USSPC-FAC-2026-0361,Vandenberg SFB,Fire Protection,30,17.44,0,3,2.058753928192973,0.4857307064753137,2
USSPC-FAC-2026-0002,Vandenberg SFB,Power Production,29,12.33,3,1,2.071882857594732,0.48265276983898076,3
USSPC-FAC-2026-0132,Schriever SFB,Structural,29,9.52,2,5,2.129799222929491,0.46952782648897884,4
USSPC-FAC-2026-0039,Vandenberg SFB,Fire Protection,29,9.43,3,3,2.1374496170133175,0.4678472849326438,5
USSPC-FAC-2026-0406,Schriever SFB,HVAC,30,21.81,0,3,2.1418227495120514,0.4668920433438385,6
USSPC-FAC-2026-0166,Schriever SFB,Plumbing,30,23.83,0,2,2.1467963452418015,0.4658103700504327,7
USSPC-FAC-2026-0180,Vandenberg SFB,Power Production,29,10.97,3,3,2.2127878226011406,0.45191861134905204,8
USSPC-FAC-2026-0208,Peterson SFB,Power Production,30,23.93,4,2,2.2430848741185287,0.4458146062765337,9
USSPC-FAC-2026-0032,Buckley SFB,Lighting,30,18.16,0,4,2.3131847547417355,0.43230442270126795,10
USSPC-FAC-2026-0200,Vandenberg SFB,HVAC,30,19.87,3,5,2.3340030265258442,0.4284484589930017,11
USSPC-FAC-2026-0441,Schriever SFB,Fire Protection,29,22.4,4,2,2.374973664932687,0.4210573004515158,12
USSPC-FAC-2026-0243,Schriever SFB,Lighting,30,27.07,2,1,2.38756871504643,0.41883611294536227,13
USSPC-FAC-2026-0225,Buckley SFB,Structural,29,14.64,4,4,2.4226947522836997,0.4127635142881174,14
USSPC-FAC-2026-0499,Vandenberg SFB,Fire Protection,29,18.87,3,3,2.464899327405073,0.4056960821409091,15
USSPC-FAC-2026-0126,Buckley SFB,Power Production,29,25.41,4,1,2.5940109294403353,0.3855033873029026,16
USSPC-FAC-2026-0223,Schriever SFB,Plumbing,28,24.94,2,1,2.702025466389189,0.37009273688909194,17
USSPC-FAC-2026-0087,Schriever SFB,Power Production,28,21.22,7,3,2.7158938452292576,0.3682029037168007,18
USSPC-FAC-2026-0212,Peterson SFB,Electrical,30,38.5,1,3,2.7578328230598372,0.3626035601717482,19
USSPC-FAC-2026-0378,Schriever SFB,Power Production,29,30.44,0,2,2.767097432043717,0.36138951538884634,20
USSPC-FAC-2026-0445,Buckley SFB,HVAC,30,33.97,0,3,2.7764136091647673,0.36017688311967017,21
USSPC-FAC-2026-0288,Vandenberg SFB,ESS,29,25.62,0,5,2.8166151250714924,0.35503608252995433,22
USSPC-FAC-2026-0156,Buckley SFB,Lighting,29,27.12,0,4,2.9219335255650276,0.3422391342070746,23
USSPC-FAC-2026-0176,Buckley SFB,Lighting,27,17.35,2,2,2.9832304466032644,0.3352070910708926,24
USSPC-FAC-2026-0497,Vandenberg SFB,HVAC,29,36.78,5,2,2.9876766494034084,0.3347082423393054,25
USSPC-FAC-2026-0016,Peterson SFB,Structural,28,27.35,1,2,3.00878638399562,0.3323599193745407,26
USSPC-FAC-2026-0459,Schriever SFB,Plumbing,27,18.9,0,4,3.0992458482210754,0.3226591399885189,27
USSPC-FAC-2026-0481,Schriever SFB,Power Production,28,25.82,5,4,3.10101834090398,0.32247471316422116,28
USSPC-FAC-2026-0150,Vandenberg SFB,Fire Protection,28,32.14,3,1,3.114880327898134,0.3210396210228668,29
USSPC-FAC-2026-0074,Peterson SFB,ESS,29,37.97,5,5,3.140564717671831,0.3184140719575178,30
USSPC-FAC-2026-0154,Vandenberg SFB,Fire Protection,28,31.28,3,2,3.144298307945766,0.3180359819782241,31
USSPC-FAC-2026-0260,Buckley SFB,Lighting,29,32.0,0,4,3.148528314876279,0.3176087047637985,32
USSPC-FAC-2026-0106,Vandenberg SFB,Plumbing,29,38.06,2,2,3.150519062375144,0.3174080144260769,33
USSPC-FAC-2026-0041,Peterson SFB,ESS,28,29.31,7,5,3.152273841089085,0.3172313226615198,34
